bar,date,time,csv_CMMA_S,computed_CMMA_S,csv_CMMA_M,computed_CMMA_M,csv_CMMA_L,computed_CMMA_L
113,20241019,1700,nan,0,nan,0,nan,0
114,20241019,1800,nan,0,nan,0,nan,0
115,20241019,1900,nan,0,nan,0,nan,0
116,20241019,2000,nan,0,nan,0,nan,0
117,20241019,2100,nan,0,nan,0,nan,0
118,20241019,2200,nan,0,nan,0,nan,0
119,20241019,2300,nan,0,nan,0,nan,0
120,20241020,0000,nan,0,nan,0,nan,0
121,20241020,0100,nan,0,nan,0,nan,0
122,20241020,0200,nan,0,nan,0,nan,0
123,20241020,0300,nan,0,nan,0,nan,0
124,20241020,0400,nan,0,nan,0,nan,0
125,20241020,0500,nan,0,nan,0,nan,0
126,20241020,0600,nan,0,nan,0,nan,0
127,20241020,0700,nan,0,nan,0,nan,0
128,20241020,0800,nan,0,nan,0,nan,0
129,20241020,0900,nan,0,nan,0,nan,0
130,20241020,1000,nan,0,nan,0,nan,0
131,20241020,1100,nan,0,nan,0,nan,0
132,20241020,1200,nan,0,nan,0,nan,0
133,20241020,1300,nan,0,nan,0,nan,0
134,20241020,1400,nan,0,nan,0,nan,0
135,20241020,1500,nan,0,nan,0,nan,0
136,20241020,1600,nan,0,nan,0,nan,0
137,20241020,1700,nan,0,nan,0,nan,0
138,20241020,1800,nan,0,nan,0,nan,0
139,20241020,1900,nan,0,nan,0,nan,0
140,20241020,2000,nan,0,nan,0,nan,0
141,20241020,2100,nan,0,nan,0,nan,0
142,20241020,2200,nan,0,nan,0,nan,0
143,20241020,2300,nan,0,nan,0,nan,0
144,20241021,0000,nan,0,nan,0,nan,0
145,20241021,0100,nan,0,nan,0,nan,0
146,20241021,0200,nan,0,nan,0,nan,0
147,20241021,0300,nan,0,nan,0,nan,0
148,20241021,0400,nan,0,nan,0,nan,0
149,20241021,0500,nan,0,nan,0,nan,0
150,20241021,0600,nan,0,nan,0,nan,0
151,20241021,0700,nan,0,nan,0,nan,0
152,20241021,0800,nan,0,nan,0,nan,0
153,20241021,0900,nan,0,nan,0,nan,0
154,20241021,1000,nan,0,nan,0,nan,0
155,20241021,1100,nan,0,nan,0,nan,0
156,20241021,1200,nan,0,nan,0,nan,0
157,20241021,1300,nan,0,nan,0,nan,0
158,20241021,1400,nan,0,nan,0,nan,0
159,20241021,1500,nan,0,nan,0,nan,0
160,20241021,1600,nan,0,nan,0,nan,0
161,20241021,1700,nan,0,nan,0,nan,0
162,20241021,1800,nan,0,nan,0,nan,0
163,20241021,1900,nan,0,nan,0,nan,0
164,20241021,2000,nan,0,nan,0,nan,0
165,20241021,2100,nan,0,nan,0,nan,0
166,20241021,2200,nan,0,nan,0,nan,0
167,20241021,2300,nan,0,nan,0,nan,0
168,20241022,0000,nan,0,nan,0,nan,0
169,20241022,0100,nan,0,nan,0,nan,0
170,20241022,0200,nan,0,nan,0,nan,0
171,20241022,0300,nan,0,nan,0,nan,0
172,20241022,0400,nan,0,nan,0,nan,0
173,20241022,0500,nan,0,nan,0,nan,0
174,20241022,0600,nan,0,nan,0,nan,0
175,20241022,0700,nan,0,nan,0,nan,0
176,20241022,0800,nan,0,nan,0,nan,0
177,20241022,0900,nan,0,nan,0,nan,0
178,20241022,1000,nan,0,nan,0,nan,0
179,20241022,1100,nan,0,nan,0,nan,0
180,20241022,1200,nan,0,nan,0,nan,0
181,20241022,1300,nan,0,nan,0,nan,0
182,20241022,1400,nan,0,nan,0,nan,0
183,20241022,1500,nan,0,nan,0,nan,0
184,20241022,1600,nan,0,nan,0,nan,0
185,20241022,1700,nan,0,nan,0,nan,0
186,20241022,1800,nan,0,nan,0,nan,0
187,20241022,1900,nan,0,nan,0,nan,0
188,20241022,2000,nan,0,nan,0,nan,0
189,20241022,2100,nan,0,nan,0,nan,0
190,20241022,2200,nan,0,nan,0,nan,0
191,20241022,2300,nan,0,nan,0,nan,0
192,20241023,0000,nan,0,nan,0,nan,0
193,20241023,0100,nan,0,nan,0,nan,0
194,20241023,0200,nan,0,nan,0,nan,0
195,20241023,0300,nan,0,nan,0,nan,0
196,20241023,0400,nan,0,nan,0,nan,0
197,20241023,0500,nan,0,nan,0,nan,0
198,20241023,0600,nan,0,nan,0,nan,0
199,20241023,0700,nan,0,nan,0,nan,0
200,20241023,0800,nan,0,nan,0,nan,0
201,20241023,0900,nan,0,nan,0,nan,0
202,20241023,1000,nan,0,nan,0,nan,0
203,20241023,1100,nan,0,nan,0,nan,0
204,20241023,1200,nan,0,nan,0,nan,0
205,20241023,1300,nan,0,nan,0,nan,0
206,20241023,1400,nan,0,nan,0,nan,0
207,20241023,1500,nan,0,nan,0,nan,0
208,20241023,1600,nan,0,nan,0,nan,0
209,20241023,1700,nan,0,nan,0,nan,0
210,20241023,1800,nan,0,nan,0,nan,0
211,20241023,1900,nan,0,nan,0,nan,0
212,20241023,2000,nan,0,nan,0,nan,0
213,20241023,2100,nan,0,nan,0,nan,0
214,20241023,2200,nan,0,nan,0,nan,0
215,20241023,2300,nan,0,nan,0,nan,0
216,20241024,0000,nan,0,nan,0,nan,0
217,20241024,0100,nan,0,nan,0,nan,0
218,20241024,0200,nan,0,nan,0,nan,0
219,20241024,0300,nan,0,nan,0,nan,0
220,20241024,0400,nan,0,nan,0,nan,0
221,20241024,0500,nan,0,nan,0,nan,0
222,20241024,0600,nan,0,nan,0,nan,0
223,20241024,0700,nan,0,nan,0,nan,0
224,20241024,0800,nan,0,nan,0,nan,0
225,20241024,0900,nan,0,nan,0,nan,0
226,20241024,1000,nan,0,nan,0,nan,0
227,20241024,1100,nan,0,nan,0,nan,0
228,20241024,1200,nan,0,nan,0,nan,0
229,20241024,1300,nan,0,nan,0,nan,0
230,20241024,1400,nan,0,nan,0,nan,0
231,20241024,1500,nan,0,nan,0,nan,0
232,20241024,1600,nan,0,nan,0,nan,0
233,20241024,1700,nan,0,nan,0,nan,0
234,20241024,1800,nan,0,nan,0,nan,0
235,20241024,1900,nan,0,nan,0,nan,0
236,20241024,2000,nan,0,nan,0,nan,0
237,20241024,2100,nan,0,nan,0,nan,0
238,20241024,2200,nan,0,nan,0,nan,0
239,20241024,2300,nan,0,nan,0,nan,0
240,20241025,0000,nan,0,nan,0,nan,0
241,20241025,0100,nan,0,nan,0,nan,0
242,20241025,0200,nan,0,nan,0,nan,0
243,20241025,0300,nan,0,nan,0,nan,0
244,20241025,0400,nan,0,nan,0,nan,0
245,20241025,0500,nan,0,nan,0,nan,0
246,20241025,0600,nan,0,nan,0,nan,0
247,20241025,0700,nan,0,nan,0,nan,0
248,20241025,0800,nan,0,nan,0,nan,0
249,20241025,0900,nan,0,nan,0,nan,0
250,20241025,1000,nan,1.08434329,nan,9.003878723,nan,2.566235212
251,20241025,1100,nan,9.262411761,nan,12.13254679,nan,4.958571895
252,20241025,1200,nan,7.496726412,nan,11.06379143,nan,4.567341499
253,20241025,1300,nan,15.58080028,nan,14.30290727,nan,7.095447487
254,20241025,1400,nan,13.94814917,nan,13.43620376,nan,6.878189945
255,20241025,1500,nan,-6.763297773,nan,4.135311745,nan,1.102765857
